COULEUR;IMAGE
#a35b1c;../../Images/icones/icones_obstacle.png
#000000;../../Images/icones/icones_deplacerMeeples.png
#a35b1c;
#000000;
#a35b1c;../../Images/icones/icones_obstacle.png
#000000;../../Images/icones/icones_deplacerMeeples.png
#a35b1c;
#000000;
#a35b1c;../../Images/icones/icones_obstacle.png
#000000;../../Images/icones/icones_deplacerMeeples.png
#a35b1c;
#000000;
#a35b1c;../../Images/icones/icones_obstacle.png
#000000;../../Images/icones/icones_deplacerMeeples.png
#a35b1c;
#000000;
#a35b1c;../../Images/icones/icones_obstacle.png
#000000;../../Images/icones/icones_deplacerMeeples.png
#a35b1c;
#000000;
#b8b8b8;../../Images/icones/icones_multiplicateurNegatif.png
#068a1c;../../Images/icones/icones_multiplicateurPositif.png
#b8b8b8;
#068a1c;
#b8b8b8;../../Images/icones/icones_multiplicateurNegatif.png
#068a1c;../../Images/icones/icones_multiplicateurPositif.png
#b8b8b8;../../Images/icones/icones_multiplicateurNegatif.png
#068a1c;
#b8b8b8;
#068a1c;../../Images/icones/icones_multiplicateurPositif.png
#068a1c;
#b8b8b8;
#068a1c;../../Images/icones/icones_multiplicateurPositif.png
#b8b8b8;../../Images/icones/icones_multiplicateurNegatif.png
#068a1c;
#b8b8b8;
#068a1c;../../Images/icones/icones_multiplicateurPositif.png
#b8b8b8;../../Images/icones/icones_multiplicateurNegatif.png
#068a1c;
#b8b8b8;
#cc0000;../../Images/icones/icones_defausserCarte.png
#f7e81b;../../Images/icones/icones_piocherCarte.png
#cc0000;
#f7e81b;
#cc0000;../../Images/icones/icones_defausserCarte.png
#f7e81b;../../Images/icones/icones_piocherCarte.png
#cc0000;
#f7e81b;
#cc0000;../../Images/icones/icones_defausserCarte.png
#f7e81b;../../Images/icones/icones_piocherCarte.png
#cc0000;
#f7e81b;
#cc0000;../../Images/icones/icones_defausserCarte.png
#f7e81b;../../Images/icones/icones_piocherCarte.png
#cc0000;
#f7e81b;
#cc0000;../../Images/icones/icones_defausserCarte.png
#f7e81b;
#cc0000;
#f7e81b;../../Images/icones/icones_piocherCarte.png
